0	0
2	0
4	0
7	1
12	2
12	3
14	2
14	3
14	4
14	12
14	15
14	20
14	26
14	27
22	20
23	6
24	20
33	23
39	1
39	2
39	3
39	4
39	6
39	10
39	21
39	24
40	10
42	28
46	6
51	2
63	2
67	4
71	0
71	5
71	6
71	8
71	9
71	10
71	11
71	12
71	13
71	14
71	15
71	16
71	17
71	18
71	19
71	20
71	21
71	22
73	6
77	2
77	3
77	24
82	2
82	5
82	6
88	1
90	2
94	9
103	6
115	3
115	9
120	2
120	3
120	4
120	9
120	19
120	21
120	31
120	33
120	34
120	36
123	2
123	7
125	6
139	3
153	2
153	5
153	8
153	9
153	14
153	15
153	16
153	18
153	19
153	20
153	21
153	29
153	30
153	31
153	32
153	33
154	5
154	6
155	6
164	0
164	2
167	9
167	25
169	2
169	10
169	21
169	29
172	2
173	12
174	6
181	19
187	9
194	6
194	20
196	6
196	9
203	5
203	10
207	15
209	2
209	6
209	8
209	13
209	15
209	28
221	9
227	15
236	9
241	2
241	3
241	4
241	5
241	10
241	15
241	21
241	22
248	3
248	4
248	6
248	24
254	2
254	3
254	5
254	6
254	10
254	22
254	24
266	6
266	19
266	31
266	32
273	3
274	4
274	9
274	15
274	21
275	1
275	3
275	4
275	7
275	9
275	11
275	16
275	20
275	22
275	24
275	35
275	36
278	7
279	6
290	2
290	3
290	4
290	7
290	22
290	28
301	2
304	1
304	3
304	4
305	3
305	4
305	5
305	15
305	16
305	21
305	22
305	24
309	6
309	12
310	5
310	6
310	19
310	20
310	21
310	29
310	31
310	34
313	3
313	6
313	7
313	17
313	22
313	24
313	28
317	28
318	9
318	15
319	7
327	9
330	6
339	2
339	7
348	19
348	21
348	29
353	17
356	8
375	3
375	4
403	15
403	17
403	22
411	9
411	29
411	32
425	1
425	2
425	3
425	4
425	5
425	11
425	15
425	21
425	22
425	24
430	6
441	8
441	35
451	4
452	5
452	6
454	1
454	2
454	3
454	4
454	7
454	11
454	15
454	22
454	24
461	6
461	8
461	16
461	24
465	8
469	3
469	4
469	7
469	15
469	22
469	24
480	15
510	3
510	4
510	21
510	24
510	28
511	22
511	35
516	0
516	3
516	4
516	5
516	8
516	9
516	13
516	14
516	15
516	17
516	18
516	19
516	20
516	21
516	22
516	30
516	35
518	1
518	2
518	3
518	4
518	5
518	7
518	9
518	13
518	14
518	15
518	16
518	17
518	24
518	28
518	35
522	6
522	22
527	22
527	33
529	7
529	10
529	21
529	28
537	6
538	0
542	29
542	33
550	0
553	0
558	29
570	0
571	31
573	6
573	12
609	6
612	6
616	5
616	19
616	20
616	21
616	34
620	5
625	0
641	0
659	16
672	0
675	20
675	30
677	0
683	0
690	5
690	6
697	0
697	2
697	24
699	0
699	6
701	13
706	2
706	6
706	15
706	22
707	12
713	2
713	3
721	24
726	20
726	31
729	21
729	22
730	2
730	4
730	15
730	22
739	1
739	3
739	24
739	28
759	3
759	15
759	17
759	22
761	3
761	24
772	2
772	4
772	6
772	7
772	9
772	10
772	14
772	15
772	16
772	17
772	18
772	19
772	21
772	22
772	28
789	3
789	11
789	13
793	1
793	3
793	4
793	12
793	24
795	15
795	22
796	15
796	21
797	22
800	6
800	15
809	0
809	2
809	6
809	7
809	8
809	11
809	12
809	13
809	28
810	3
810	4
810	12
810	22
810	24
812	6
819	15
821	11
822	2
822	3
822	4
822	11
822	12
822	15
822	17
822	22
822	24
831	25
833	2
833	15
833	16
835	6
839	24
846	5
846	12
846	21
855	6
858	2
858	5
858	15
858	16
865	4
865	15
865	17
865	21
865	22
865	24
874	0
874	3
874	28
875	22
880	3
880	4
880	7
880	22
883	12
885	6
889	22
894	16
904	3
904	15
